Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
446325,SESAME GARLIC SCE,4/4.9 LBS,ASIAN MENU,ASM01,RETAIL,X,,,4000,4000,3937,63,4120,4244
448325,GENERAL TSO,4/4.9 LBS,ASIAN MENU,ASM04,RETAIL,X,,,4000,4000,3937,63,4120,4244
449325,ORANGE GINGER ,4/4.86 LBS,ASIAN MENU,ASM05,RETAIL,X,,,4000,4000,3937,63,4120,4244
001001,HR WHT FINE,12/5 OZ,T,HRF03,RETAIL,,X,,1107,,,,,
003128,HR WHT FINE,4/8 LBS,OUTBACK STEAKHOUSE,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
004001,HR WHT FINE,2/32 OZ,T,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
007001,HR WHT FINE,4/8 LBS,T,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
007037,HR WHT FINE,4/8 LBS,SYSCO CLASSIC ,HRF01,GALLON,,X,,2210,2210,,,2276,2345
007057,HR WHT FINE,4/8 LBS,COBBLESTREET MARKET ORIGINALS,HRF01,GALLON,,X,,2210,2210,,,2276,2345
007147,HR WHT FINE,4/8 LBS,MONARCH,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
008001,HR ALL NAT,400#Drum,T,HRF12,DRUM,,X,,1200,,,,,
009001,HR WHT FINE,6/32 OZ,T,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009037,HR WHT FINE,6/32 OZ,SYSCO CLASSIC ,HRF01,TUB,,X,,2210,2210,,,2276,2345
009057,HR WHT FINE,6/32 OZ,COBBLESTREET MARKET ORIGINALS,HRF01,TUB,,X,,2210,2210,,,2276,2345
009108,HR WHT FINE,6/32 OZ,WHITE MUSTANG,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009147,HR WHT FINE,6/32 OZ,MONARCH,HRF01,TUB,,X,,2210,2210,2178,32,2276,2345
009156,HR WHT FINE,6/32 OZ,GORDON CHOICE,HRF01,TUB,,X,,2210,,,,,
009203,HR WHT FINE,6/32 OZ,MTN VALLEY,HRF01,TUB,,X,,2210,,,,,
011001S,TGR SCE DRSNG,4/1 GAL,T,TID01S,GALLON,X,,,2196,2196,2110,86,2262,2330
013001S,CKTAIL SCE w/ SUGAR,12/8 OZ,T,CSR01S,RETAIL,X,,,2258,,,,,
013356S,CKTAIL SCE w/ SUGAR,12/9 OZ,THE FRESH MARKET,CSR01S,RETAIL,X,,,2258,142,133,9,146,151
014001S,CKTAIL SCE,4/8 LBS,T,CSR01S,GALLON,X,,,2258,1389,1376,13,1431,1474
014037S,CKTAIL SCE,4/8 LBS,SYSCO CLASSIC ,CSR01S,GALLON,X,,,2258,,,,,
014147S,CKTAIL SCE,4/1 GAL,MONARCH,CSR01S,GALLON,X,,,2258,,,,,
015001S,EXTRA BOLD CKTAIL SCE,4/8 LBS,T,CSB02S,GALLON,X,,,2397,2258,2172,86,2326,2396
016037,TGR SCE,4/1 GAL,SYSCO CLASSIC ,TIS01S,GALLON,X,,,1851,2258,,,2326,2396
017356S,FM BOLD CKTAIL SCE w/ SUGAR,12/9 OZ,THE FRESH MARKET,CSB03S,RETAIL,X,,,2424,,,,,
021001,GARLIC SPREAD,6/4 LB,T,FEGY,Milk & Soy,9,R,Oasis,1234*,,0,,0,0
023162,HR SCE,12/32 OZ,INFERNO,HRS01,Nat.-Occ Sulfites,6,R,TFPW-West Coast,1234*,,,,,
025001S,CKTAIL SCE,24/8 OZ (TUB),T,CSR01S,TUB,X,,,2258,,,,,
025229S,CKTAIL SCE,24/8 OZ (TUB),T (PUBLIX),CSR01S,TUB,X,,,2258,227,214,13,234,241
026133,HR WHT FINE,375# Drum,KENS,HRF01,TUB,,X,,2210,,,,,
027001,HR WHT FINE,200# Drum,T,HRF09,DRUM,,X,,1114,1114,1092,22,1147,1182
027045,HR WHT FINE,200# Drum,BUEDEL,HRF01,TUB,,X,,2210,,,,,
027200,HR WHT CRSE,200# Drum,COARSE,HRC01,DRUM,,X,,1114,1114,1092,22,1147,1182
027212,HR WHT FINE,200# Drum,STONEWALL,HRF08,DRUM,,X,,1234*,,,,,
