Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
027001,HR WHT FINE,200# Drum,T,HRF09,DRUM,,X,,1114,1114,1092,22,1147,1182
027200,HR WHT CRSE,200# Drum,COARSE,HRC01,DRUM,,X,,1114,1114,1092,22,1147,1182
027215,HR WHT CRSE,400# Drum,KRAFT,HRC01,DRUM,,X,,1114,1114,1092,22,1147,1182
030001,HR WHT FINE,200# Drum,T,HRF07,DRUM,,X,,2210,2210,2166,44,2276,2345
031001,HR WHT FINE,200# Drum,T,HRF01,DRUM,,X,,2210,2210,2166,44,2276,2345
056001,HR WHT FINE,400# Drum,T,HRF01,DRUM,,X,,2210,2210,2202,8,2276,2345
079001,HR WHT FINE,200# DRUM,T,HRF12,DRUM,,X,,1200,1200,1176,24,1236,1273
082001,HR WHT FINE,400# Drum,T,HRF07,DRUM,,X,,2210,2210,2166,44,2276,2345
085001,GAR/W,400# Drum,T,GWR01,DRUM,X,,,3562,3562,3491,71,3669,3779
086001,GAR/O,400# Drum,T,GOR01,DRUM,X,,GWR07+OIL AT THE LINE=GOR01,3511,,,,,
168082,GARLIC/W VALUE,400# DRUM,SEASIDE (PANOLA PEPPER),GWV01,DRUM,X,,,3547,,,,,
217179S,CRAB CAKE MIX,385# Drum,CALVERT HOUSE,CCS01S,DRUM,X,,,1758,1758,1723,35,1811,1865
231001,HR WHT FINE,400# Drum,T,HRF09,DRUM,,X,,1114,n/a,n/a,n/a,n/a,n/a
635276,CLASSIC RANCH,400# Drum,SIR KENSINGTON'S,SRK14,DRUM,X,,,1698,,,,,
636276,PIZZA RANCH,400# Drum,SIR KENSINGTON'S,SRK16,DRUM,X,,,1552,,,,,
637276,AVOCADO RANCH,400# Drum,SIR KENSINGTON'S,SRK15,DRUM,X,,,1546,,,,,
638276,BUFFALO RANCH,400# Drum,SIR KENSINGTON'S,SRK17,DRUM,X,,,1712,,,,,
469001,HR WHT CRSE,400# DRUM,T,HRC01,DRUM,,X,,1114,,,,,
003128,HR WHT FINE,4/8 LBS,OUTBACK STEAKHOUSE,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
007001,HR WHT FINE,4/8 LBS,T,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
007037,HR WHT FINE,4/8 LBS,SYSCO CLASSIC ,HRF01,GALLON,,X,,2210,2210,,,2276,2345
007057,HR WHT FINE,4/8 LBS,COBBLESTREET MARKET ORIGINALS,HRF01,GALLON,,X,,2210,2210,,,2276,2345
007147,HR WHT FINE,4/8 LBS,MONARCH,HRF01,GALLON,,X,,2210,2210,2124,86,2276,2345
011001S,TGR SCE DRSNG,4/1 GAL,T,TID01S,GALLON,X,,,2196,2196,2110,86,2262,2330
014001S,CKTAIL SCE,4/8 LBS,T,CSR01S,GALLON,X,,,2258,2258,2245,13,2326,2396
014037S,CKTAIL SCE,4/8 LBS,SYSCO CLASSIC ,CSR01S,GALLON,X,,,2258,,,,,
015001S,EXTRA BOLD CKTAIL SCE,4/8 LBS,T,CSB02S,GALLON,X,,,2397,2258,2172,86,2326,2396
016037,TGR SCE,4/1 GAL,SYSCO CLASSIC ,TIS01S,GALLON,X,,,1851,2258,,,2326,2396
032001,HR RED FINE,4/8 LBS,T,HRR01,GALLON,,X,,1177,2397,2311,86,2469,2543
057196,CAESAR DRESSING,4/1 GAL,MELTING POT,MPT01,GALLON,X,,,1875,1851,1774,77,1907,1964
084001S,TAR SCE SWT - SUGAR,4/1 GAL,T,TAS01S,GALLON,X,,,1389,1177,1091,86,1212,1249
133019S,CKTAIL SCE-V,4/8 LBS,UNIPRO,CSV01S,GALLON,X,,,1900,1875,1789,86,1931,1989
133082S,CKTAIL SCE-V,4/8 LBS,SEASIDE,CSV01S,GALLON,X,,,1900,1389,,,1431,1474
133156,CKTAIL SCE-V,4/8 LBS,GFS,CSV01S,GALLON,X,,,1900,1900,1814,86,1957,2016
182019,HR WHT FINE ,4/8 LBS,UNIPRO,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,1900,1814,86,1957,2016
182059,HR WHT FINE ,4/8 LBS,COBBLESTREET MARKET FOUNDATIONS,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,1900,1814,86,1957,2016
182082,HR WHT FINE ,4/8 LBS,SEASIDE,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,2210,2124,86,2276,2345
182110,HR WHT FINE ,4/8 LBS,GATOR,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,2210,,,2276,2345
182192,HR WHT FINE ,4/8 LBS,HARVEST VALUE,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,2210,2124,86,2276,2345
182198,HR WHT FINE ,4/8 LBS,WEST CREEK,HRV01,GALLON,,X,HRF01+WATER AT THE LINE=HRV01,2210,2210,2124,86,2276,2345
193031,BOLD CKTAIL SCE #0350,4/1 GAL,SYSCO IMPERIAL,CSB04,GALLON,X,,,2424,2210,2124,86,2276,2345
196031,COCKTAIL SAUCE #0351 ,4/1 GAL,SYSCO IMPERIAL,CSR03,GALLON,X,,,2424,2210,,,2276,2345
215179S,CRAB CAKE MIX,4/1 GAL,CALVERT HOUSE,CCS01S,GALLON,X,,,1758,2424.0,,,2496.7,2572
