Finished Product Item Listing,,,,,,,,
"Cross reference between Product Code, Ross #, and Formula #",,,,,,,,
Item,Item Description,Pack Size,Label or Customer Name,Ross WIP #,Allergen / Sensitizer,Non K,Comments,
HRP0100,HR Peroxidase,250 gal Tote,Tulkoff,HRP01,na,,,
001001,HR WHITE,12/5 OZ,Tulkoff,HRF03,Bisulfite,,,
003128,HR WHITE,4/8 LB,Outback,HRF01,na,,,
004001,HR WHITE,2/32 OZ,Tulkoff,HRF01,na,,,
007001,HR WHITE,4/8 LB,Tulkoff,HRF01,na,,,
007037,HR WHITE,4/8 LB,Sysco Classic,HRF01,na,blue pallet,,
007057,HR WHITE,4/8LB,CobbMkt Originals,HRF01,na,,,
007147,HR WHITE,4/8 LB,Monarch,HRF01,na,,,
008001,HR All Nat,400#Drum,Tulkoff,HRF12,na,,,
009001,HR WHITE,6/32 OZ,Tulkoff,HRF01,na,,,
009037,HR WHITE,6/32 OZ,Sysco Classic,HRF01,na,blue pallet,,
009057,HR WHITE,6/32 OZ,CobbMkt Originals,HRF01,na,,,
009108,HR WHITE,6/32 OZ,White Mustang,HRF01,na,,,
009147,HR WHITE,6/32 OZ,Monarch,HRF01,na,,,
009156,HR WHITE,6/32 OZ,Gordon Choice,HRF01,na,blue pallet,,
009203,HR WHITE,6/32 OZ,Mtn Valley,HRF01,na,,,
011001S,TGR SCE DRESS.,4/1 GAL,Tulkoff,TID01S,Egg & Mustard,,,
013001S,CKTL SAUCE,12/8 OZ,Tulkoff,CSR01S,na,,,
013356S,CKTL SAUCE,12/9 OZ,Fresh Market,CSR01S,na,,,
014001S,CKTL SAUCE,4/8 LB,Tulkoff,CSR01S,na,,,
014037S,CKTL SAUCE,4/8 LB,Sysco Classic,CSR01S,na,blue pallet,,
014147S,CKTL SAUCE,4/1 GAL,Monarch,CSR01S,na,,,
015001S,CKTL SCE X BOLD,4/8 LB,Tulkoff,CSB02S,na,,,
016037,TIGER SAUCE,4/1 GAL,Sysco Classic,TIS01S,Egg & Mustard,blue pallet,,
017356S,CKTL SCE BOLD,12/9 OZ,Fresh Market,CSB03S,na,,,
025000,HR ROOTS - wash,na,T,na,na,,Roots,
025001S,CKTL SAUCE,24/8 OZ,Tulkoff,CSR01S,na,,,
025229S,CKTL SAUCE,24/8 OZ,Publix,CSR01S,na,blue pallet,,
026000,HR ROOTS - dirty,na,T,na,na,,Roots,
026133,HR WHITE,375# Drum,Kens,HRF01,na,Micro Test,"Special micro tests, yeast apc mold",
027001,HR WHITE,200# Drum,Tulkoff,HRF09,na,,,
027045,HR WHITE,200# Drum,Buedel,HRF01,na,,,
027200,HR WHITE,200# Drum,T-Coarse,HRC01,na,,,
027212,HR WHITE,200# Drum,Stonewall,HRF08,na,,w/ capsicum (no mustard oil),
027215,HR WHITE,400# Drum,Kraft,HRC01,na,MICRO TEST(5),Special micro tests,
027221,HR WHITE,200# Drum,Wayne Cnty,HRF07,na,,no artificial flavor,
027223,HR WHITE,200# Drum,Stirrings LLC,HRF07,na,,no artificial flavor,
027402,HR - Coarse,400# Drum,Tulkoff,HRC01,na,,,
028001,HR WHITE,12/8 OZ,Tulkoff,HRF03,Bisulfite,,,
028054,HR WHITE,12/8 OZ,Rosol,HRF03,Bisulfite,,,
028061,HR WHITE,12/8 OZ,Shoprite-P,HRF05,Bisulfite,,Passover,
028079,HR WHITE,12/8 OZ,GFS,HRF01,na,blue pallet,,
028087,HR WHITE,12/8 OZ,T-Passover,HRF05,Bisulfite,,Passover,
028098,HR WHITE,12/8 OZ,Shoprite,HRF03,Bisulfite,,,
